
Count Name                                          
----- ----                                          
   47 text._safe_text                               
    8 scoring._step_route_id                        
    4 scoring._route_score                          
    3 search_local_places._merged_timings           
    3 scoring._score_by_index                       
    2 gtfs._ids_for_name                            
    2 discovery_store._identity_key                 
    2 gtfs._route_stop_ids_near                     
    2 search_local_places._search_targets           
    2 search_local_places._provider_places          
    2 search_local_places._target_accepts_place     
    2 search_local_places._coverage                 
    2 discovery_store._normalized_name              
    2 search_local_places._provider_search          
    2 scoring._score_routes                         
    2 candidates._build_route_candidates            
    2 text._sanitize_recommendation                 
    2 scoring._route_lines                          
    2 enrichment._enrich_route                      
    1 item._asdict                                  
    1 vehicle_enrichment._attach_terminal_stop      
    1 discovery_store._place_identity               
    1 discovery_store._sanitized_search_scope       
    1 store._key                                    
    1 search_local_places._normalize_discovery_place
    1 candidates._collect_route_and_bus_ids         
    1 scoring._route_transfer_count                 
    1 scoring._route_alert_penalty                  
    1 scoring._route_total_minutes                  
    1 geo._is_in_nyc                                
    1 scoring._normalized_mode                      
    1 candidates._strip_model_control_blocks        
    1 gtfs._trip_stops_between                      
    1 gtfs._db_fallback_enabled                     
    1 scoring._route_alert_hits                     
    1 gtfs._find_trip_stop_rows                     
    1 scoring._component_score_total                



